time,open,high,low,close,volume
2024-08-21,26.84,27.06,26.41,27.01,3065269
2024-08-22,26.88,27.18,26.63,27.14,2159720
2024-08-23,27.23,27.66,26.88,26.97,2258068
2024-08-26,26.88,27.14,26.76,26.97,1282000
2024-08-27,26.8,27.14,26.71,26.8,1082829
2024-08-28,26.8,27.1,26.67,26.88,2366942
2024-08-29,27.06,27.61,26.97,26.97,4973792
2024-08-30,27.1,27.18,26.67,26.88,2133582
2024-09-04,26.63,26.88,26.41,26.41,2078375
2024-09-05,26.5,26.71,25.99,26.37,2614366
2024-09-06,26.33,26.71,26.33,26.59,1335238
2024-09-09,26.67,26.67,26.37,26.37,702757
2024-09-10,26.46,26.71,26.29,26.5,1280767
2024-09-11,26.5,26.54,26.2,26.37,899338
2024-09-12,26.54,26.59,26.29,26.29,814593
2024-09-13,26.29,26.46,26.07,26.07,674680
2024-09-16,26.07,26.37,25.86,25.86,1229605
2024-09-17,25.86,26.29,25.86,26.29,1004927
2024-09-18,26.46,26.46,26.07,26.2,1688000
2024-09-19,26.2,26.41,26.07,26.29,945020
2024-09-20,26.54,26.93,26.46,26.71,4282749
2024-09-23,26.76,27.14,26.67,26.88,2528996
2024-09-24,26.88,27.14,26.71,27.14,1879814
2024-09-25,27.48,27.48,27.1,27.23,4191448
2024-09-26,27.4,27.66,27.18,27.48,4220597
2024-09-27,27.48,27.87,27.23,27.57,3672875
2024-09-30,27.61,27.7,27.18,27.36,2210747
2024-10-01,27.36,27.4,27.01,27.14,3928029
2024-10-02,27.14,27.23,26.93,26.93,1392026
2024-10-03,26.93,27.36,26.76,26.84,2304928
2024-10-04,26.8,26.97,26.59,26.97,2571712
2024-10-07,27.27,27.4,27.1,27.18,1344683
2024-10-08,27.23,28.94,27.23,28.51,15970207
2024-10-09,28.68,28.85,28.55,28.77,1805439
2024-10-10,28.94,29.32,28.43,28.51,4583301
2024-10-11,28.51,28.68,28.08,28.13,2064604
2024-10-14,28.21,28.3,27.7,27.78,3363384
2024-10-15,27.87,28.04,27.57,27.57,1868395
2024-10-16,27.44,27.61,27.18,27.18,2762506
2024-10-17,27.23,27.48,27.14,27.48,1398270
2024-10-18,27.7,28.04,27.48,27.7,1691214
2024-10-21,27.74,27.83,27.48,27.57,1461400
2024-10-22,27.57,27.61,26.8,27.14,4140538
2024-10-23,27.27,27.4,27.06,27.27,1584672
2024-10-24,27.44,27.66,27.23,27.23,1329642
2024-10-25,27.31,27.53,27.14,27.48,1120648
2024-10-28,27.66,27.74,27.4,27.57,923581
2024-10-29,27.61,27.7,27.57,27.66,787078
2024-10-30,27.74,28.04,27.7,27.87,1330698
2024-10-31,27.91,28.21,27.83,28.21,1352214
2024-11-01,28.21,28.25,28.0,28.08,1565926
2024-11-04,28.08,28.25,27.66,27.7,1169964
2024-11-05,27.78,28.13,27.74,27.74,1234100
2024-11-06,28.08,28.08,27.7,27.87,493686
2024-11-07,27.87,28.08,27.83,27.91,885147
2024-11-08,27.95,27.95,27.48,27.57,1475349
2024-11-11,27.57,27.61,27.14,27.18,1547785
2024-11-12,27.4,27.61,27.01,27.14,1122057
2024-11-13,27.18,27.31,26.88,27.23,1167253
2024-11-14,27.36,27.4,26.84,26.88,958226
2024-11-15,26.88,27.01,26.5,26.93,1815371
2024-11-18,26.97,27.31,26.67,26.93,1492214
2024-11-19,26.93,27.06,26.71,26.8,595836
2024-11-20,26.88,27.06,26.63,27.01,1130388
2024-11-21,27.06,27.14,26.93,27.14,621125
2024-11-22,27.18,27.31,27.1,27.27,768196
2024-11-25,27.31,27.31,27.18,27.27,313881
2024-11-26,27.31,27.36,27.18,27.31,793393
2024-11-27,27.36,27.83,27.31,27.66,1138187
2024-11-28,27.83,28.04,27.4,27.4,1804266
2024-11-29,27.44,27.83,27.44,27.61,896191
2024-12-02,27.7,28.77,27.7,28.47,6923635
2024-12-03,28.55,29.28,28.55,29.07,4701124
2024-12-04,29.11,29.5,28.51,28.64,3126508
2024-12-05,28.73,29.15,28.64,28.85,2379259
2024-12-06,29.11,29.62,28.85,29.32,2746124
2024-12-09,29.54,29.62,29.15,29.24,1617245
2024-12-10,29.28,29.45,29.15,29.15,1093383
2024-12-11,29.2,29.45,28.73,28.77,1870827
2024-12-12,28.81,28.9,28.34,28.34,2415885
2024-12-13,28.43,28.64,28.17,28.38,1282293
2024-12-16,28.55,28.73,28.3,28.38,885016
2024-12-17,28.47,28.51,28.21,28.47,1037319
2024-12-18,28.51,28.94,28.51,28.85,2078473
2024-12-19,28.85,28.9,28.3,28.6,1535371
2024-12-20,28.6,28.73,28.3,28.6,972757
2024-12-23,28.77,28.81,28.47,28.68,1036169
2024-12-24,28.73,28.77,28.34,28.73,1255787
2024-12-25,28.77,29.62,28.73,29.32,4656288
2024-12-26,29.45,29.5,29.03,29.03,2061690
2024-12-27,29.3,31.0,29.2,31.0,9368621
2024-12-30,31.3,31.8,31.05,31.55,3352124
